Strain Name	Virus Species	GenBank Accession	Sequence Length	Pango Genome Lineage	Collection Date	Host	GenBank Host	Country	Mol Type
AUS/WA/WA-1/2016	Paslahepevirus balayani	MZ676774	7183	-N/A-	Jul-16	Rabbit	rabbit	Australia	genomic RNA
AUS/SA/GAW-1/2017	Paslahepevirus balayani	MZ676756	7186	-N/A-	Jan-17	Rabbit	rabbit	Australia	genomic RNA
SWU/301/2019	Paslahepevirus balayani	MW365405	7244	-N/A-	Jul-19	Swine	Sus scrofa	China	genomic RNA
SWU/A/2020	Paslahepevirus balayani	MW365406	7223	-N/A-	Aug-20	Swine	Sus scrofa	China	genomic RNA
ratIDE079F	Paslahepevirus balayani	AB847305	6987	-N/A-	2011	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
ratESOLO-014SF	Paslahepevirus balayani	AB847306	6983	-N/A-	2012	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
ratELOMB-187SF	Paslahepevirus balayani	AB847307	6948	-N/A-	2012	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
ratESOLO-006SF	Paslahepevirus balayani	AB847308	6965	-N/A-	2012	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
ratIDE113F	Paslahepevirus balayani	AB847309	6979	-N/A-	2012	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
WB33/Switzerland/2018	Paslahepevirus balayani	MZ923533	7239	-N/A-	2018	Boar	wild boar	Switzerland	genomic RNA
WB40/Switzerland/2018	Paslahepevirus balayani	MZ923536	7245	-N/A-	2018	Boar	wild boar	Switzerland	genomic RNA
ratEJM1703495L	Paslahepevirus balayani	LC573546	7012	-N/A-	7/15/2017	Rat	Rattus rattus	Japan	genomic RNA
HE-JA12-0725	Paslahepevirus balayani	AB850879	7330	-N/A-	2012	Human	Homo sapiens	Japan	genomic RNA
wbJNN_13	Paslahepevirus balayani	AB856243	7263	-N/A-	3/16/2013	Swine	Sus scrofa leucomystax	Japan	genomic RNA
55863/2018	-N/A-	OK429318	7231	-N/A-	2018	Boar	wild boar	Italy	genomic RNA
47272/2017	-N/A-	OK429319	7231	-N/A-	2017	Boar	wild boar	Italy	genomic RNA
132	-N/A-	OK340737	7210	-N/A-	Dec-12	Boar	wild boar	Italy	genomic RNA
WB03VT2016	-N/A-	OK340738	7222	-N/A-	2016	Boar	wild boar	Italy	genomic RNA
WB01VT2016	-N/A-	OK340739	7196	-N/A-	2016	Boar	wild boar	Italy	genomic RNA
WB110VT2017	-N/A-	OK340740	7226	-N/A-	2017	Boar	wild boar	Italy	genomic RNA
WB171VT2017	-N/A-	OK340741	7202	-N/A-	2017	Boar	wild boar	Italy	genomic RNA
WB119VT2017	-N/A-	OK340742	7209	-N/A-	2017	Boar	wild boar	Italy	genomic RNA
